STATION,DATE,TEMP,MAX,MIN,Celsius
RP000098755,2017-01-01,80.06,84.20,75.20,27
RP000098755,2017-01-02,80.78,85.64,75.92,27
RP000098755,2017-01-03,79.88,85.28,,27
RP000098755,2017-01-04,80.60,86.36,75.38,27
RP000098755,2017-01-05,77.72,89.06,,25
RP000098755,2017-01-06,75.92,81.68,,24
RP000098755,2017-01-07,75.02,77.90,,24
RP000098755,2017-01-08,77.18,81.86,73.40,25
RP000098755,2017-01-09,80.60,85.64,74.12,27
RP000098755,2017-01-10,80.96,87.44,75.92,27
RP000098755,2017-01-11,78.44,82.76,,26
RP000098755,2017-01-12,78.26,85.28,75.02,26
RP000098755,2017-01-13,81.68,90.68,74.48,28
RP000098755,2017-01-14,81.68,88.34,75.56,28
RP000098755,2017-01-15,82.04,90.14,76.28,28
RP000098755,2017-01-16,79.88,86.90,,27
RP000098755,2017-01-17,80.06,83.30,74.30,27
RP000098755,2017-01-18,80.24,84.02,76.82,27
RP000098755,2017-01-19,77.00,83.12,,25
RP000098755,2017-01-20,77.72,83.48,71.60,25
RP000098755,2017-01-21,78.98,84.56,74.66,26
RP000098755,2017-01-22,80.42,84.92,74.12,27
RP000098755,2017-01-23,77.54,83.84,,25
RP000098755,2017-01-24,79.52,82.76,,26
RP000098755,2017-01-25,80.42,84.92,,27
RP000098755,2017-01-26,79.34,84.92,,26
RP000098755,2017-01-27,79.16,,74.84,26
RP000098755,2017-01-28,77.18,81.50,,25
RP000098755,2017-01-29,80.24,86.00,74.30,27
RP000098755,2017-01-30,80.78,87.98,,27
RP000098755,2017-01-31,80.06,,75.38,27
RP000098755,2017-02-01,77.36,84.02,,25
RP000098755,2017-02-02,78.62,84.92,73.40,26
RP000098755,2017-02-03,78.08,82.58,75.20,26
RP000098755,2017-02-04,76.82,81.14,,25
RP000098755,2017-02-05,79.34,87.26,73.58,26
RP000098755,2017-02-06,80.78,89.06,75.20,27
RP000098755,2017-02-07,80.42,89.96,,27
RP000098755,2017-02-08,80.42,88.88,73.58,27
RP000098755,2017-02-09,78.44,90.32,,26
RP000098755,2017-02-10,75.92,80.96,72.50,24
RP000098755,2017-02-11,76.28,82.76,72.32,25
RP000098755,2017-02-12,74.48,80.96,71.60,24
RP000098755,2017-02-13,75.92,80.24,70.34,24
RP000098755,2017-02-14,76.82,82.04,70.52,25
RP000098755,2017-02-15,76.82,79.52,73.76,25
RP000098755,2017-02-16,72.86,75.20,,23
RP000098755,2017-02-17,74.84,79.34,70.70,24
RP000098755,2017-02-18,76.82,86.00,71.60,25
RP000098755,2017-02-19,77.90,84.56,,26
RP000098755,2017-02-20,75.38,,72.50,24
RP000098755,2017-02-21,78.80,84.02,73.22,26
RP000098755,2017-02-22,80.78,85.10,73.40,27
RP000098755,2017-02-23,77.90,83.84,,26
RP000098755,2017-02-24,79.16,84.92,74.30,26
RP000098755,2017-02-25,80.06,85.10,72.86,27
RP000098755,2017-02-26,79.52,86.00,74.66,26
RP000098755,2017-02-27,78.26,85.64,74.12,26
RP000098755,2017-02-28,80.24,86.00,74.66,27
