STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2017-01-01,79.70,86.00,,26
RPM00098646,2017-01-02,79.88,85.64,,27
RPM00098646,2017-01-03,82.40,88.52,76.64,28
RPM00098646,2017-01-04,82.04,89.24,,28
RPM00098646,2017-01-05,81.32,88.52,77.00,27
RPM00098646,2017-01-06,80.42,86.00,,27
RPM00098646,2017-01-07,79.88,84.56,76.10,27
RPM00098646,2017-01-08,77.90,79.16,76.28,26
RPM00098646,2017-01-09,78.98,83.30,75.92,26
RPM00098646,2017-01-10,77.72,,75.92,25
RPM00098646,2017-01-11,76.28,,,25
RPM00098646,2017-01-12,78.98,86.72,,26
RPM00098646,2017-01-13,78.44,86.00,74.48,26
RPM00098646,2017-01-14,78.08,80.60,75.56,26
RPM00098646,2017-01-15,80.60,86.00,76.46,27
RPM00098646,2017-01-16,75.92,77.54,,24
RPM00098646,2017-01-17,77.54,80.78,74.66,25
RPM00098646,2017-01-18,78.62,84.20,74.48,26
RPM00098646,2017-01-19,77.54,,,25
RPM00098646,2017-01-20,80.78,86.36,74.66,27
RPM00098646,2017-01-21,80.42,86.36,76.10,27
RPM00098646,2017-01-22,80.96,,76.64,27
RPM00098646,2017-01-23,81.14,86.72,,27
RPM00098646,2017-01-24,81.14,86.36,75.92,27
RPM00098646,2017-01-25,80.42,86.90,,27
RPM00098646,2017-01-26,79.88,86.00,,27
RPM00098646,2017-01-27,80.42,86.90,75.02,27
RPM00098646,2017-01-28,78.62,,,26
RPM00098646,2017-01-29,80.96,86.90,75.20,27
RPM00098646,2017-01-30,81.86,88.88,76.28,28
RPM00098646,2017-01-31,82.22,,77.00,28
RPM00098646,2017-02-01,78.44,86.00,,26
RPM00098646,2017-02-02,81.68,89.60,76.28,28
RPM00098646,2017-02-03,78.44,83.30,,26
RPM00098646,2017-02-04,79.88,85.10,75.02,27
RPM00098646,2017-02-05,81.14,86.90,75.20,27
RPM00098646,2017-02-06,80.24,,,27
RPM00098646,2017-02-07,80.78,,74.84,27
RPM00098646,2017-02-08,81.50,,,28
RPM00098646,2017-02-09,80.78,87.44,,27
RPM00098646,2017-02-10,79.16,85.64,,26
RPM00098646,2017-02-11,79.70,86.36,74.48,26
RPM00098646,2017-02-12,78.80,86.00,,26
RPM00098646,2017-02-13,78.98,84.92,73.40,26
RPM00098646,2017-02-14,79.16,85.28,73.76,26
RPM00098646,2017-02-15,79.88,85.64,,27
RPM00098646,2017-02-16,75.92,79.16,,24
RPM00098646,2017-02-17,80.06,85.64,73.22,27
RPM00098646,2017-02-18,80.78,87.08,76.64,27
RPM00098646,2017-02-19,79.88,85.28,,27
RPM00098646,2017-02-20,77.54,81.50,,25
RPM00098646,2017-02-21,80.96,86.00,,27
RPM00098646,2017-02-22,80.06,85.82,75.92,27
RPM00098646,2017-02-23,78.44,86.36,,26
RPM00098646,2017-02-24,79.70,85.64,,26
RPM00098646,2017-02-25,80.96,88.16,73.40,27
RPM00098646,2017-02-26,82.04,,75.20,28
RPM00098646,2017-02-27,81.50,86.00,,28
RPM00098646,2017-02-28,80.96,88.52,,27
RPM00098646,2017-03-01,81.50,87.80,75.20,28
RPM00098646,2017-03-02,81.68,88.70,76.82,28
RPM00098646,2017-03-03,80.96,88.34,,27
RPM00098646,2017-03-04,81.32,88.70,75.56,27
RPM00098646,2017-03-05,82.04,,76.46,28
RPM00098646,2017-03-06,80.06,84.20,77.00,27
RPM00098646,2017-03-07,79.88,86.18,,27
RPM00098646,2017-03-08,79.88,87.80,,27
RPM00098646,2017-03-09,78.62,82.40,73.76,26
RPM00098646,2017-03-10,81.50,87.80,74.48,28
RPM00098646,2017-03-11,79.34,84.20,76.64,26
RPM00098646,2017-03-12,80.96,86.90,,27
RPM00098646,2017-03-13,80.78,86.36,75.92,27
RPM00098646,2017-03-14,82.58,,75.20,28
RPM00098646,2017-03-15,81.32,88.88,,27
RPM00098646,2017-03-16,78.98,85.28,,26
RPM00098646,2017-03-17,81.32,87.80,74.48,27
RPM00098646,2017-03-18,80.24,86.54,,27
